Allsky,CLRSKY,Radiation
2.71,3.41,7.01
3.02,3.45,6.3
3.14,3.36,6.59
2.44,3.17,7.5
1.06,3.22,8.38
2.84,3.29,8.01
3.08,3.2,7.21
3.25,3.4,6.79
2.89,3.39,7
3.16,3.45,6.8
2.98,3.44,7.37
1.49,3.41,8.08
2.34,3.25,8.21
0.83,3.38,8.09
1.78,3.43,8.06
3.13,3.52,6.86
3.38,3.5,6.92
1.64,3.51,7.84
1.88,3.65,7.67
2.72,3.66,7.74
2.45,3.73,7.92
3.78,3.83,6.46
3.89,3.93,6.17
3.89,3.93,6.26
3.95,3.99,6.3
2.98,3.89,6.55
3.78,3.87,6.43
3.94,4.1,7.01
2.75,3.92,7.41
3.38,4.05,7.1
0.82,4.01,7.53
3.45,4.15,6.94
1.54,4.13,7.18
0.53,4.05,7.1
4.04,4.26,6.67
1.45,4.11,7.38
1.72,4.23,7.48
3.91,4.47,6.45
4.04,4.46,6.49
2.72,4.46,6.62
4.63,4.65,5.87
4.55,4.61,6.45
4.39,4.47,7.09
3.23,4.62,7.59
3.76,4.74,7.59
4.61,4.7,7.25
1.97,4.61,7.69
4.6,4.71,7.06
1.88,4.68,8.04
3.04,4.81,8.23
3.52,5.16,7.22
1.56,4.6,7.33
1.19,4.95,7.88
2.38,5.1,7.41
3.62,4.27,6.74
3.33,4.38,6.94
5.3,5.35,6.24
3.61,5.43,6.78
5.45,5.49,6.16
4.34,5.57,6.75
4.81,5.56,6.59
4.84,5.57,6.85
4.16,5.65,7.45
5.16,5.46,7.07
5.5,5.78,6.98
5.43,5.99,6.88
5.33,5.89,7.35
2.54,5.95,7.49
4.28,6.2,7.04
3.36,6.22,6.84
6.3,6.3,6.34
1.53,6.15,7.35
5.79,6.17,7.04
5.19,6.23,7.52
5.62,6.21,7.08
2.45,6.23,8.23
4.04,6.34,8.02
1.44,6.41,7.97
4.55,6.52,7.6
4.46,6.55,7.42
3.69,6.58,7.67
5.56,6.71,6.87
6.37,6.77,6.48
5.78,6.78,7.05
5.19,6.73,7.66
6.97,6.97,6.91
6.9,7,7.84
6.44,6.95,7.95
4.76,7.01,8.03
6.7,7.11,7.17
5.95,7.01,7.3
6.75,7.18,7.22
6.66,7.17,7.22
6.86,7.09,7.31
7.18,7.22,7
7.18,7.31,7.11
6.64,7.28,7.93
3.18,7.11,8.05
7.05,7.26,7.63
6.63,7.34,7.83
7.26,7.52,7.72
5.21,7.32,8.62
7.25,7.55,7.73
5.99,7.61,7.9
7,7.58,7.38
7.21,7.59,7.41
6.03,7.12,7.82
7.19,7.47,7.16
5.87,7.07,7.63
1.07,7.41,8.42
6.52,7.48,7.61
4.41,7.89,7.8
7.44,7.42,6.97
7.84,7.84,6.93
7.7,7.89,7.48
5.88,7.38,8.04
