Year,Month,Day,Rainfall,RH,Pressure,Temp,Min_T,Max_T,W_Speed,W_Direction,Radiation
1992,1,1,0,65.82,99.31,8.16,7.22,9.7,8.33,337.27,6.79
1992,1,2,0,64.95,100.31,6.48,5.15,8.12,7.91,2.92,7
1992,1,3,0,64.31,100.77,7.96,5.19,10.23,4.85,20.17,6.8
1992,1,4,0,66.16,101.59,10.76,8.81,12.74,2.43,75.81,7.37
1992,1,5,0,79.61,101.4,12.1,9.92,14.64,4.84,259.6,8.08
1992,1,6,0,82.35,100.64,12.96,11.85,14.41,5.12,275.79,8.21
1992,1,7,0,72.27,100.64,12.41,10.57,14.12,4.39,35.75,8.09
1992,1,8,0,66.32,101.1,11.75,10.26,14.14,4.17,61.01,8.06
1992,1,9,0,68.07,100.91,11.39,9.83,14.02,4.14,54.57,6.86
1992,1,10,0,69,100.66,11.19,9.3,14.04,6.07,45.27,6.92
1992,1,11,0,72.83,100.81,12.05,9.28,14.71,3.64,352.56,7.84
1992,1,12,0,78.28,100.6,12.76,11.38,14.67,2.19,251.67,7.67
1992,1,13,1,79.33,100.06,12.45,11.36,14.03,4.38,279.12,7.74
1992,1,14,2,80.04,99.97,11.77,10.63,12.99,4.55,51.94,7.92
1992,1,15,3,79.71,99.81,10.4,8.95,11.56,4.24,28.39,6.46
1992,1,16,1,69.79,99.82,10.09,8.66,11.57,3.79,21.51,6.17
1992,1,17,0,62.25,100.15,10.24,8.83,12.23,3.38,307.32,6.26
1992,1,18,1,78.22,99.84,12.02,9.72,13.95,6.54,257,6.3
1992,1,19,1,69.34,99.71,12.04,10.31,13.62,1.67,67.06,6.55
1992,1,20,0,69.24,99.66,11.06,9.42,12.54,1.6,300.1,6.43
1992,1,21,0,71.33,100.43,11.2,10.02,12.58,1.45,337.29,7.01
1992,1,22,0,67.82,101.02,10.95,8.71,13.63,4.71,23.77,7.41
1992,1,23,0,57.39,101.26,9.87,7.24,12.4,3.59,27.51,7.1
1992,1,24,0,60.54,100.99,10.92,8.81,13.73,6.5,41.54,7.53
1992,1,25,0,62.81,100.73,9.83,7.44,11.61,4.01,46.57,6.94
1992,1,26,0,66.74,100.46,9.41,8.18,11.35,7.97,58.83,7.18
1992,1,27,0,62.78,100.74,8.95,7.52,10.56,9.87,65.03,7.1
1992,1,28,0,63.06,100.38,10.14,7.69,12.55,7.7,71.88,6.67
1992,1,29,0,63.48,99.48,10.26,9.08,11.45,8.18,58.98,7.38
1992,1,30,3,70.42,98.97,8.83,6.58,10.19,3.88,40.26,7.48
1992,1,31,2,76.31,98.54,7.99,6.23,9.18,5.39,311.11,6.45
1992,2,1,0,59.2,99.38,6.7,5.59,8.36,4.28,329.77,6.49
1992,2,2,0,67.96,99.95,6.93,5.23,8.16,6.21,61.56,6.62
1992,2,3,12,87.33,99.22,7.07,6.49,7.94,12.96,54.17,5.87
1992,2,4,1,65.71,99.01,9.42,7.52,11.86,7.25,294.62,6.45
1992,2,5,14,79.83,99.14,10.83,9.08,12.08,5.43,244.1,7.09
1992,2,6,6,72.86,98.85,10.54,7.81,11.95,7.12,289.26,7.59
1992,2,7,0,59.89,99.82,8.38,5.45,11.52,6.42,322.96,7.59
1992,2,8,1,63.79,100.19,6.11,4.23,7.76,4.61,21.21,7.25
1992,2,9,4,65.22,100.03,6.48,5.05,7.73,10.69,41.34,7.69
1992,2,10,0,60,100.35,7.73,4.54,10.97,5.72,357.92,7.06
1992,2,11,0,60.14,100.39,10.72,7.62,13.72,4.75,279.21,8.04
1992,2,12,1,74.07,100.25,11.36,9.98,12.21,3.39,306.33,8.23
1992,2,13,0,74.82,100.52,10.08,8.26,11.96,4.63,84.7,7.22
1992,2,14,0,63.84,100.66,11.57,8.73,13.93,1.81,121.55,7.33
1992,2,15,0,71.71,100.7,12.36,10.32,14.32,3.56,90.27,7.88
1992,2,16,0,74.19,100.24,12.03,11.46,12.71,8.1,61.92,7.41
1992,2,17,0,69.85,99.89,12.56,10.15,14.82,4.29,33.31,6.74
1992,2,18,4,81.45,99.77,13.43,11.35,15.69,7.87,234.34,6.94
1992,2,19,1,74.98,99.57,12.89,11.34,14.8,8.93,261.51,6.24
1992,2,20,0,61.79,99.61,9.8,6.34,11.13,8.97,291.6,6.78
1992,2,21,6,68.53,99.67,7.8,5.97,9.7,4.3,89.34,6.16
1992,2,22,2,83.1,98.52,9.19,8.22,10.84,7.65,30.12,6.75
1992,2,23,1,72.67,98.53,8.16,6.18,9.7,7.05,242.79,6.59
1992,2,24,1,70.14,98.64,6.24,5,7.25,3.14,324.91,6.85
1992,2,25,1,70.44,99.24,6.86,4.74,8.3,5.5,4.37,7.45
1992,2,26,0,62.32,100.42,8.42,6.46,10.89,5.82,2.44,7.07
1992,2,27,0,59.95,100.89,8.76,6.54,11.23,4.26,3.79,6.98
1992,2,28,0,57.57,100.97,9.4,6.71,12.36,3.34,332.95,6.88
1992,2,29,0,67.7,100.42,10.69,8.52,13.46,6.62,341.73,7.35
1992,3,1,0,63.79,100.72,9.77,7.43,11.89,5.47,43.83,7.49
1992,3,2,0,55.51,100.94,11.39,9.23,13.12,1.8,356.79,7.04
1992,3,3,0,61.33,100.96,11.9,9.84,14.43,3.14,294.02,6.84
1992,3,4,0,72.68,100.43,12.11,10.27,14.3,3.76,277.68,6.34
1992,3,5,0,68.9,100.23,12.95,10.55,16.17,3.86,283.15,7.35
1992,3,6,0,55.78,100.34,12.26,10.55,13.83,3.21,21.19,7.04
1992,3,7,0,56.6,100.54,11.22,9.11,13.12,3.73,57.68,7.52
1992,3,8,2,67.79,100.71,9.48,8.26,10.31,6.42,51.7,7.08
1992,3,9,0,56.86,100.98,9.2,6.85,11.54,5.2,46.4,8.23
1992,3,10,0,58.48,100.9,9.9,7.76,12.48,6.29,51.93,8.02
1992,3,11,0,55.95,100.81,11.27,8.97,13.05,11.75,71.76,7.97
1992,3,12,0,62.29,99.99,12.09,10.47,13.85,11.27,68.8,7.6
1992,3,13,0,68.49,99.68,12.41,9.53,15.45,5.22,353.59,7.42
1992,3,14,0,71.64,99.77,12.91,10.62,15.45,2.3,263.16,7.67
1992,3,15,0,75.15,99.89,12.27,10.13,14.9,4.48,267.02,6.87
1992,3,16,2,78.49,99.82,12.68,10.93,14.63,2.9,192.98,6.48
1992,3,17,1,78.41,99.45,13.28,11.72,15.3,4.42,162.81,7.05
1992,3,18,7,80.16,99.24,12.49,9.69,14.89,8.06,222.69,7.66
1992,3,19,0,67.2,99.94,10.39,8.26,12.72,5.46,252.84,6.91
1992,3,20,1,71.4,100.12,10.57,8.54,12.38,3.62,247.78,7.84
1992,3,21,2,73.62,99.76,11.05,9.81,12.95,7.98,268.07,7.95
1992,3,22,0,62.54,99.42,10.83,9.16,12.55,8.02,287.54,8.03
1992,3,23,0,63.23,99.71,11.84,9.38,14.41,5.8,282.54,7.17
1992,3,24,0,69.2,100.11,12.74,9.52,15.29,2.51,262.79,7.3
1992,3,25,0,72.66,100.03,13.4,11.58,15.62,4.06,53,7.22
1992,3,26,0,70.53,99.86,15.1,11.72,18.94,4.2,43.05,7.22
1992,3,27,0,75.01,99.45,16.07,12.99,19.8,4.55,77.43,7.31
